# This file is generated by MACS version 2.1.2
# Command line: callpeak -t CHNM36.bam.sorted.bam -c CHNM35.bam.sorted.bam -f BAM -n RUNX1ChIP_MCF10AOEq0.05 -g hs -B -q 0.05
# ARGUMENTS LIST:
# name = RUNX1ChIP_MCF10AOEq0.05
# format = BAM
# ChIP-seq file = ['CHNM36.bam.sorted.bam']
# control file = ['CHNM35.bam.sorted.bam']
# effective genome size = 2.70e+09
# band width = 300
# model fold = [5, 50]
# qvalue cutoff = 5.00e-02
# The maximum gap between significant sites is assigned as the read length/tag size.
# The minimum length of peaks is assigned as the predicted fragment length "d".
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps
# Broad region calling is off
# Paired-End mode is off

# tag size is determined as 54 bps
# total tags in treatment: 89501295
# tags after filtering in treatment: 80338845
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.10
# total tags in control: 94686274
# tags after filtering in control: 87410774
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.08
# d = 74
# alternative fragment length(s) may be 74 bps
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
chr16	58154467	58154548	82	58154495	18.00	11.47793	5.93401	7.59503	RUNX1ChIP_MCF10AOEq0.05_peak_4942
chr16	58201205	58201281	77	58201229	17.00	9.00765	4.79069	5.34601	RUNX1ChIP_MCF10AOEq0.05_peak_4943
chr16	58201338	58201520	183	58201426	26.00	14.30646	5.77369	10.23009	RUNX1ChIP_MCF10AOEq0.05_peak_4944
chr16	58339643	58339732	90	58339682	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_4945
chr16	58426208	58426351	144	58426289	15.00	7.39439	4.25839	3.89968	RUNX1ChIP_MCF10AOEq0.05_peak_4946
chr16	58659018	58659122	105	58659083	15.00	7.39439	4.25839	3.89968	RUNX1ChIP_MCF10AOEq0.05_peak_4947
chr16	65547805	65547899	95	65547841	16.00	8.18886	4.52454	4.60940	RUNX1ChIP_MCF10AOEq0.05_peak_4948
chr16	65769814	65769990	177	65769823	14.00	6.62566	3.99224	3.21902	RUNX1ChIP_MCF10AOEq0.05_peak_4949
chr16	66479106	66479323	218	66479297	16.00	9.62361	5.30938	5.89892	RUNX1ChIP_MCF10AOEq0.05_peak_4950
chr16	66479392	66479469	78	66479414	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_4951
chr16	66522161	66522476	316	66522387	23.00	14.36812	6.38759	10.28034	RUNX1ChIP_MCF10AOEq0.05_peak_4952
chr16	66524001	66524140	140	66524022	15.00	7.39439	4.25839	3.89968	RUNX1ChIP_MCF10AOEq0.05_peak_4953
chr16	66524952	66525072	121	66525021	20.00	13.42037	6.55865	9.38184	RUNX1ChIP_MCF10AOEq0.05_peak_4954
chr16	66525793	66526117	325	66525994	30.00	21.41854	8.25064	16.85024	RUNX1ChIP_MCF10AOEq0.05_peak_4955
chr16	66618689	66618919	231	66618834	15.00	5.76642	3.42145	2.47326	RUNX1ChIP_MCF10AOEq0.05_peak_4956
chr16	66619602	66619713	112	66619646	20.00	11.59792	5.58914	7.70115	RUNX1ChIP_MCF10AOEq0.05_peak_4957
chr16	66746741	66747033	293	66746911	26.00	19.49568	8.32195	15.05476	RUNX1ChIP_MCF10AOEq0.05_peak_4958
chr16	66909985	66910101	117	66910065	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_4959
chr16	66927197	66927407	211	66927328	34.00	18.76939	6.25505	14.35909	RUNX1ChIP_MCF10AOEq0.05_peak_4960
chr16	67029730	67029808	79	67029760	22.00	15.44289	7.18328	11.24790	RUNX1ChIP_MCF10AOEq0.05_peak_4961
chr16	67036651	67036744	94	67036703	28.00	16.08947	6.20138	11.87574	RUNX1ChIP_MCF10AOEq0.05_peak_4962
chr16	67066691	67066764	74	67066731	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_4963
chr16	67191965	67192075	111	67192053	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_4964
chr16	67227089	67227194	106	67227157	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_4965
chr16	67245000	67245153	154	67245104	14.00	6.62566	3.99224	3.21902	RUNX1ChIP_MCF10AOEq0.05_peak_4966
chr16	67277200	67277650	451	67277510	24.00	15.21824	6.59886	11.07334	RUNX1ChIP_MCF10AOEq0.05_peak_4967
chr16	67846715	67846877	163	67846744	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_4968
chr16	67987935	67988031	97	67987992	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_4969
chr16	68237711	68237828	118	68237755	15.00	8.61671	4.93153	5.01241	RUNX1ChIP_MCF10AOEq0.05_peak_4970
chr16	68275784	68275889	106	68275824	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_4971
chr16	68402432	68402516	85	68402493	16.00	9.49962	5.23975	5.81439	RUNX1ChIP_MCF10AOEq0.05_peak_4972
chr16	68756215	68756315	101	68756276	11.00	5.44370	3.74780	2.17258	RUNX1ChIP_MCF10AOEq0.05_peak_4973
chr16	68776875	68777162	288	68777031	27.00	17.65857	7.13455	13.31954	RUNX1ChIP_MCF10AOEq0.05_peak_4974
chr16	68790350	68790483	134	68790420	19.00	12.43868	6.24633	8.47994	RUNX1ChIP_MCF10AOEq0.05_peak_4975
chr16	69190685	69190872	188	69190770	23.00	16.48204	7.49560	12.21562	RUNX1ChIP_MCF10AOEq0.05_peak_4976
chr16	69396238	69396434	197	69396338	22.00	15.44289	7.18328	11.24790	RUNX1ChIP_MCF10AOEq0.05_peak_4977
chr16	69513781	69513874	94	69513813	13.00	6.07786	3.83298	2.75604	RUNX1ChIP_MCF10AOEq0.05_peak_4978
chr16	69521036	69521109	74	69521105	14.00	6.62566	3.99224	3.21902	RUNX1ChIP_MCF10AOEq0.05_peak_4979
chr16	69522168	69522346	179	69522288	22.00	15.44289	7.18328	11.24790	RUNX1ChIP_MCF10AOEq0.05_peak_4980
chr16	69530604	69530694	91	69530649	18.00	10.12626	5.20190	6.37636	RUNX1ChIP_MCF10AOEq0.05_peak_4981
chr16	70058201	70058319	119	70058288	21.00	13.50981	6.37964	9.45794	RUNX1ChIP_MCF10AOEq0.05_peak_4982
chr16	70380609	70380724	116	70380656	18.00	11.47793	5.93401	7.59503	RUNX1ChIP_MCF10AOEq0.05_peak_4983
chr16	70404448	70404549	102	70404506	19.00	10.09864	5.00930	6.34986	RUNX1ChIP_MCF10AOEq0.05_peak_4984
chr16	70428108	70428233	126	70428127	18.00	9.43199	4.84130	5.75098	RUNX1ChIP_MCF10AOEq0.05_peak_4985
chr16	70568763	70568868	106	70568809	10.00	4.70023	3.43548	1.53860	RUNX1ChIP_MCF10AOEq0.05_peak_4986
chr16	70577355	70577467	113	70577392	19.00	11.40806	5.68750	7.56033	RUNX1ChIP_MCF10AOEq0.05_peak_4987
chr16	70582341	70582603	263	70582532	20.00	10.43046	5.00403	6.66439	RUNX1ChIP_MCF10AOEq0.05_peak_4988
chr16	70602284	70602434	151	70602353	16.00	9.62361	5.30938	5.89892	RUNX1ChIP_MCF10AOEq0.05_peak_4989
chr16	70613071	70613152	82	70613130	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_4990
chr16	70700109	70700305	197	70700248	30.00	24.21380	9.68181	19.47198	RUNX1ChIP_MCF10AOEq0.05_peak_4991
chr16	70715367	70715477	111	70715417	13.00	6.93008	4.31509	3.51011	RUNX1ChIP_MCF10AOEq0.05_peak_4992
chr16	70779024	70779139	116	70779049	12.00	6.22087	4.06012	2.85022	RUNX1ChIP_MCF10AOEq0.05_peak_4993
chr16	70930139	70930246	108	70930183	15.00	6.79184	3.94032	3.37808	RUNX1ChIP_MCF10AOEq0.05_peak_4994
chr16	70955109	70955336	228	70955164	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_4995
chr16	71019138	71019431	294	71019311	27.00	19.83913	8.23321	15.35593	RUNX1ChIP_MCF10AOEq0.05_peak_4996
chr16	71555516	71555798	283	71555594	24.00	17.53878	7.80791	13.20109	RUNX1ChIP_MCF10AOEq0.05_peak_4997
chr16	71588167	71588267	101	71588231	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_4998
chr16	71808808	71809104	297	71809036	16.00	9.62361	5.30938	5.89892	RUNX1ChIP_MCF10AOEq0.05_peak_4999
chr16	71884442	71884641	200	71884536	22.00	13.42617	6.12144	9.38184	RUNX1ChIP_MCF10AOEq0.05_peak_5000
chr16	72013504	72013705	202	72013674	16.00	6.43775	3.63529	3.05085	RUNX1ChIP_MCF10AOEq0.05_peak_5001
chr16	72927736	72927906	171	72927802	21.00	12.50251	5.85529	8.53128	RUNX1ChIP_MCF10AOEq0.05_peak_5002
chr16	73015730	73015916	187	73015794	21.00	12.61557	5.91315	8.63591	RUNX1ChIP_MCF10AOEq0.05_peak_5003
chr16	73056041	73056214	174	73056097	18.00	9.84950	5.05684	6.10580	RUNX1ChIP_MCF10AOEq0.05_peak_5004
chr16	73385916	73386063	148	73385958	14.00	7.27510	4.34975	3.79586	RUNX1ChIP_MCF10AOEq0.05_peak_5005
chr16	74448467	74448664	198	74448531	23.00	16.48204	7.49560	12.21562	RUNX1ChIP_MCF10AOEq0.05_peak_5006
chr16	74738424	74738509	86	74738448	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_5007
chr16	74740838	74740944	107	74740890	20.00	11.59792	5.58914	7.70115	RUNX1ChIP_MCF10AOEq0.05_peak_5008
chr16	74826267	74826536	270	74826335	19.00	12.43868	6.24633	8.47994	RUNX1ChIP_MCF10AOEq0.05_peak_5009
chr16	74936988	74937236	249	74937168	19.00	12.43868	6.24633	8.47994	RUNX1ChIP_MCF10AOEq0.05_peak_5010
chr16	75187692	75187929	238	75187786	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_5011
chr16	75288646	75288794	149	75288709	20.00	12.33212	5.97188	8.40806	RUNX1ChIP_MCF10AOEq0.05_peak_5012
chr16	75319925	75320099	175	75319993	21.00	13.04944	6.13754	9.05842	RUNX1ChIP_MCF10AOEq0.05_peak_5013
chr16	75342699	75342845	147	75342788	19.00	10.71327	5.32299	6.89188	RUNX1ChIP_MCF10AOEq0.05_peak_5014
chr16	75476072	75476230	159	75476173	18.00	11.47793	5.93401	7.59503	RUNX1ChIP_MCF10AOEq0.05_peak_5015
chr16	75486172	75486297	126	75486236	24.00	10.54442	4.46789	6.73901	RUNX1ChIP_MCF10AOEq0.05_peak_5016
chr16	75996644	75996747	104	75996707	13.00	6.77584	4.22649	3.36281	RUNX1ChIP_MCF10AOEq0.05_peak_5017
chr16	76377538	76377620	83	76377587	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_5018
chr16	76757178	76757264	87	76757217	16.00	9.62361	5.30938	5.89892	RUNX1ChIP_MCF10AOEq0.05_peak_5019
chr16	76780641	76780837	197	76780731	16.00	9.62361	5.30938	5.89892	RUNX1ChIP_MCF10AOEq0.05_peak_5020
chr16	76787490	76787629	140	76787562	15.00	5.76642	3.42145	2.47326	RUNX1ChIP_MCF10AOEq0.05_peak_5021
chr16	77038051	77038192	142	77038164	16.00	6.43775	3.63529	3.05085	RUNX1ChIP_MCF10AOEq0.05_peak_5022
chr16	77408729	77408925	197	77408764	15.00	8.61671	4.93153	5.01241	RUNX1ChIP_MCF10AOEq0.05_peak_5023
chr16	77540757	77540928	172	77540798	24.00	12.58598	5.34601	8.60723	RUNX1ChIP_MCF10AOEq0.05_peak_5024
chr16	77723176	77723329	154	77723258	23.00	9.80517	4.28918	6.07545	RUNX1ChIP_MCF10AOEq0.05_peak_5025
chr16	78011984	78012298	315	78012119	44.00	38.18675	12.34328	32.78975	RUNX1ChIP_MCF10AOEq0.05_peak_5026
chr16	78034598	78034780	183	78034711	21.00	5.01849	2.63386	1.84046	RUNX1ChIP_MCF10AOEq0.05_peak_5027
chr16	78099529	78099705	177	78099652	21.00	10.13314	4.70449	6.37735	RUNX1ChIP_MCF10AOEq0.05_peak_5028
chr16	78684167	78684431	265	78684195	20.00	11.59792	5.58914	7.70115	RUNX1ChIP_MCF10AOEq0.05_peak_5029
chr16	78967402	78967497	96	78967427	13.00	4.50168	2.99377	1.41348	RUNX1ChIP_MCF10AOEq0.05_peak_5030
chr16	78987843	78987944	102	78987860	11.00	5.44370	3.74780	2.17258	RUNX1ChIP_MCF10AOEq0.05_peak_5031
chr16	79372481	79372716	236	79372610	20.00	9.35247	4.49065	5.67275	RUNX1ChIP_MCF10AOEq0.05_peak_5032
chr16	79564577	79564842	266	79564723	18.00	11.47793	5.93401	7.59503	RUNX1ChIP_MCF10AOEq0.05_peak_5033
chr16	79614995	79615285	291	79615128	35.00	30.15963	11.24340	25.10319	RUNX1ChIP_MCF10AOEq0.05_peak_5034
chr16	79897818	79897891	74	79897846	14.00	6.62566	3.99224	3.21902	RUNX1ChIP_MCF10AOEq0.05_peak_5035
chr16	80014386	80014806	421	80014643	30.00	24.21380	9.68181	19.47198	RUNX1ChIP_MCF10AOEq0.05_peak_5036
chr16	80040907	80041002	96	80040968	16.00	8.27302	4.56925	4.68993	RUNX1ChIP_MCF10AOEq0.05_peak_5037
chr16	80167618	80167803	186	80167752	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_5038
chr16	80264515	80264662	148	80264576	26.00	19.70236	8.43255	15.22614	RUNX1ChIP_MCF10AOEq0.05_peak_5039
chr16	80466500	80466610	111	80466552	16.00	9.30690	5.13216	5.63374	RUNX1ChIP_MCF10AOEq0.05_peak_5040
chr16	80570261	80570363	103	80570314	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_5041
chr16	81144233	81144430	198	81144368	26.00	19.70236	8.43255	15.22614	RUNX1ChIP_MCF10AOEq0.05_peak_5042
chr16	81294448	81294523	76	81294454	12.00	5.17186	3.45994	1.96247	RUNX1ChIP_MCF10AOEq0.05_peak_5043
chr16	81314699	81314816	118	81314760	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_5044
chr16	81442983	81443256	274	81443035	16.00	6.43775	3.63529	3.05085	RUNX1ChIP_MCF10AOEq0.05_peak_5045
chr16	81534150	81534257	108	81534208	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_5046
chr16	81581399	81581495	97	81581458	18.00	10.80460	5.56456	6.98180	RUNX1ChIP_MCF10AOEq0.05_peak_5047
chr16	81597419	81597539	121	81597472	18.00	9.84950	5.05684	6.10580	RUNX1ChIP_MCF10AOEq0.05_peak_5048
chr16	81625365	81625514	150	81625464	18.00	10.50492	5.40313	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_5049
chr16	81737619	81737863	245	81737824	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_5050
chr16	81740756	81740887	132	81740821	31.00	22.48444	8.51678	17.85036	RUNX1ChIP_MCF10AOEq0.05_peak_5051
chr16	83115741	83115832	92	83115794	18.00	11.47793	5.93401	7.59503	RUNX1ChIP_MCF10AOEq0.05_peak_5052
chr16	83928373	83928716	344	83928660	34.00	28.94536	10.93108	23.95658	RUNX1ChIP_MCF10AOEq0.05_peak_5053
chr16	83994202	83994417	216	83994274	25.00	16.30398	6.91989	12.07201	RUNX1ChIP_MCF10AOEq0.05_peak_5054
chr16	84211667	84211776	110	84211732	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_5055
chr16	84357207	84357683	477	84357547	31.00	23.65329	9.10000	18.95397	RUNX1ChIP_MCF10AOEq0.05_peak_5056
chr16	84360241	84360344	104	84360286	16.00	6.43775	3.63529	3.05085	RUNX1ChIP_MCF10AOEq0.05_peak_5057
chr16	84501455	84501535	81	84501505	19.00	9.93137	4.92540	6.18674	RUNX1ChIP_MCF10AOEq0.05_peak_5058
chr16	84502190	84502330	141	84502298	14.00	6.30926	3.82208	2.93702	RUNX1ChIP_MCF10AOEq0.05_peak_5059
chr16	84789048	84789172	125	84789068	15.00	7.39439	4.25839	3.89968	RUNX1ChIP_MCF10AOEq0.05_peak_5060
chr16	84806858	84806977	120	84806926	26.00	19.17403	8.15108	14.75004	RUNX1ChIP_MCF10AOEq0.05_peak_5061
chr16	84851353	84851743	391	84851607	20.00	13.42037	6.55865	9.38184	RUNX1ChIP_MCF10AOEq0.05_peak_5062
chr16	84879932	84880057	126	84879963	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_5063
chr16	84893956	84894133	178	84894091	22.00	15.44289	7.18328	11.24790	RUNX1ChIP_MCF10AOEq0.05_peak_5064
chr16	84897871	84898149	279	84897991	19.00	12.43868	6.24633	8.47994	RUNX1ChIP_MCF10AOEq0.05_peak_5065
chr16	84948905	84949073	169	84948955	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_5066
chr16	84949134	84949554	421	84949467	32.00	26.29733	10.17128	21.46200	RUNX1ChIP_MCF10AOEq0.05_peak_5067
chr16	85001069	85001160	92	85001104	16.00	8.94026	4.92972	5.29242	RUNX1ChIP_MCF10AOEq0.05_peak_5068
chr16	85052599	85052778	180	85052660	26.00	17.29660	7.18604	12.99661	RUNX1ChIP_MCF10AOEq0.05_peak_5069
chr16	85055529	85055643	115	85055588	15.00	8.43684	4.83027	4.84516	RUNX1ChIP_MCF10AOEq0.05_peak_5070
chr16	85354852	85355181	330	85355021	29.00	17.00309	6.41522	12.72253	RUNX1ChIP_MCF10AOEq0.05_peak_5071
chr16	85376337	85376727	391	85376500	36.00	28.00574	9.84753	23.06215	RUNX1ChIP_MCF10AOEq0.05_peak_5072
chr16	85472084	85472327	244	85472156	21.00	14.42207	6.87096	10.30053	RUNX1ChIP_MCF10AOEq0.05_peak_5073
chr16	85524881	85525175	295	85525059	26.00	19.70236	8.43255	15.22614	RUNX1ChIP_MCF10AOEq0.05_peak_5074
chr16	85564321	85564540	220	85564426	24.00	17.53878	7.80791	13.20109	RUNX1ChIP_MCF10AOEq0.05_peak_5075
chr16	85610848	85611026	179	85610985	20.00	13.42037	6.55865	9.38184	RUNX1ChIP_MCF10AOEq0.05_peak_5076
chr16	85612345	85612662	318	85612553	21.00	14.42207	6.87096	10.30053	RUNX1ChIP_MCF10AOEq0.05_peak_5077
chr16	85613140	85613238	99	85613193	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_5078
chr16	85645397	85645547	151	85645483	20.00	11.59792	5.58914	7.70115	RUNX1ChIP_MCF10AOEq0.05_peak_5079
chr16	85719716	85719970	255	85719811	26.00	19.70236	8.43255	15.22614	RUNX1ChIP_MCF10AOEq0.05_peak_5080
chr16	85720238	85720502	265	85720391	31.00	25.37712	9.99413	20.57227	RUNX1ChIP_MCF10AOEq0.05_peak_5081
chr16	85824367	85824440	74	85824393	16.00	9.62361	5.30938	5.89892	RUNX1ChIP_MCF10AOEq0.05_peak_5082
chr16	86118660	86118803	144	86118760	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_5083
chr16	86664485	86664619	135	86664557	17.00	9.81014	5.21971	6.07896	RUNX1ChIP_MCF10AOEq0.05_peak_5084
chr16	86814382	86814509	128	86814403	12.00	6.22087	4.06012	2.85022	RUNX1ChIP_MCF10AOEq0.05_peak_5085
chr16	86823898	86824159	262	86824026	24.00	8.94539	3.83755	5.29677	RUNX1ChIP_MCF10AOEq0.05_peak_5086
chr16	86824565	86824904	340	86824843	22.00	13.42617	6.12144	9.38184	RUNX1ChIP_MCF10AOEq0.05_peak_5087
chr16	87003430	87003503	74	87003455	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_5088
chr16	87017382	87017616	235	87017469	20.00	9.35247	4.49065	5.67275	RUNX1ChIP_MCF10AOEq0.05_peak_5089
chr16	87029860	87030126	267	87029924	22.00	15.44289	7.18328	11.24790	RUNX1ChIP_MCF10AOEq0.05_peak_5090
chr16	87043113	87043229	117	87043159	16.00	9.62361	5.30938	5.89892	RUNX1ChIP_MCF10AOEq0.05_peak_5091
chr16	87145560	87145723	164	87145617	22.00	13.42617	6.12144	9.38184	RUNX1ChIP_MCF10AOEq0.05_peak_5092
chr16	87160363	87160541	179	87160375	18.00	7.85153	4.06297	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_5093
chr16	87161099	87161495	397	87161200	26.00	19.70236	8.43255	15.22614	RUNX1ChIP_MCF10AOEq0.05_peak_5094
chr16	87162142	87162333	192	87162215	13.00	6.48283	4.05977	3.09328	RUNX1ChIP_MCF10AOEq0.05_peak_5095
chr16	87383960	87384105	146	87383998	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_5096
chr16	87457769	87457922	154	87457842	19.00	12.28993	6.16441	8.36747	RUNX1ChIP_MCF10AOEq0.05_peak_5097
chr16	87457997	87458070	74	87458026	21.00	12.50251	5.85529	8.53128	RUNX1ChIP_MCF10AOEq0.05_peak_5098
chr16	87779271	87779377	107	87779319	24.00	10.54442	4.46789	6.73901	RUNX1ChIP_MCF10AOEq0.05_peak_5099
chr16	87780780	87780894	115	87780872	14.00	7.43121	4.43727	3.93397	RUNX1ChIP_MCF10AOEq0.05_peak_5100
chr16	87806214	87806404	191	87806266	20.00	13.42037	6.55865	9.38184	RUNX1ChIP_MCF10AOEq0.05_peak_5101
chr16	87850685	87850866	182	87850719	16.00	9.62361	5.30938	5.89892	RUNX1ChIP_MCF10AOEq0.05_peak_5102
chr16	87997619	87997724	106	87997669	16.00	5.16171	3.03817	1.96247	RUNX1ChIP_MCF10AOEq0.05_peak_5103
chr16	88332203	88332458	256	88332290	22.00	15.44289	7.18328	11.24790	RUNX1ChIP_MCF10AOEq0.05_peak_5104
chr16	88333043	88333148	106	88333089	15.00	7.39439	4.25839	3.89968	RUNX1ChIP_MCF10AOEq0.05_peak_5105
chr16	88620146	88620259	114	88620215	18.00	11.47793	5.93401	7.59503	RUNX1ChIP_MCF10AOEq0.05_peak_5106
chr16	88877450	88877620	171	88877555	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_5107
chr16	88907823	88907990	168	88907893	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_5108
chr16	89052487	89052625	139	89052522	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_5109
chr16	89115436	89115518	83	89115463	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_5110
chr16	89175014	89175246	233	89175158	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_5111
chr16	89175355	89175480	126	89175413	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_5112
chr16	89309028	89309340	313	89309175	24.00	17.53878	7.80791	13.20109	RUNX1ChIP_MCF10AOEq0.05_peak_5113
chr16	89316418	89316591	174	89316483	24.00	16.76642	7.39545	12.49350	RUNX1ChIP_MCF10AOEq0.05_peak_5114
chr16	89341908	89341981	74	89341944	15.00	7.39439	4.25839	3.89968	RUNX1ChIP_MCF10AOEq0.05_peak_5115
chr16	89454056	89454355	300	89454196	34.00	24.93552	8.91819	20.16795	RUNX1ChIP_MCF10AOEq0.05_peak_5116
chr16	89476514	89476705	192	89476579	14.00	5.12056	3.20761	1.93011	RUNX1ChIP_MCF10AOEq0.05_peak_5117
chr16	89495319	89495493	175	89495392	22.00	13.42617	6.12144	9.38184	RUNX1ChIP_MCF10AOEq0.05_peak_5118
chr16	89584953	89585030	78	89584970	17.00	7.13320	3.84913	3.65834	RUNX1ChIP_MCF10AOEq0.05_peak_5119
chr16	89620057	89620136	80	89620096	18.00	11.47793	5.93401	7.59503	RUNX1ChIP_MCF10AOEq0.05_peak_5120
chr16	89652208	89652655	448	89652530	22.00	15.44289	7.18328	11.24790	RUNX1ChIP_MCF10AOEq0.05_peak_5121
chr16	89841406	89841560	155	89841479	20.00	11.59792	5.58914	7.70115	RUNX1ChIP_MCF10AOEq0.05_peak_5122
chr16	89881182	89881337	156	89881251	20.00	13.42037	6.55865	9.38184	RUNX1ChIP_MCF10AOEq0.05_peak_5123
chr16	89917968	89918125	158	89918071	23.00	13.40619	5.91047	9.38184	RUNX1ChIP_MCF10AOEq0.05_peak_5124
chr16	90044048	90044382	335	90044189	25.00	16.30398	6.91989	12.07201	RUNX1ChIP_MCF10AOEq0.05_peak_5125
chr16	90123034	90123113	80	90123103	18.00	9.84950	5.05684	6.10580	RUNX1ChIP_MCF10AOEq0.05_peak_5126
chr17	350729	350831	103	350782	19.00	12.43868	6.24633	8.47994	RUNX1ChIP_MCF10AOEq0.05_peak_5127
chr17	927913	928151	239	928072	29.00	20.36635	7.98449	15.86347	RUNX1ChIP_MCF10AOEq0.05_peak_5128
chr17	945841	945943	103	945902	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_5129
chr17	951942	952171	230	952027	21.00	14.42207	6.87096	10.30053	RUNX1ChIP_MCF10AOEq0.05_peak_5130
chr17	1067306	1067399	94	1067374	27.00	10.46022	4.09218	6.69337	RUNX1ChIP_MCF10AOEq0.05_peak_5131
chr17	1151419	1151547	129	1151454	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_5132
chr17	1197588	1197674	87	1197633	13.00	4.50168	2.99377	1.41348	RUNX1ChIP_MCF10AOEq0.05_peak_5133
chr17	1463295	1463384	90	1463322	17.00	9.00765	4.79069	5.34601	RUNX1ChIP_MCF10AOEq0.05_peak_5134
chr17	1577200	1577635	436	1577428	32.00	23.56362	8.78293	18.86770	RUNX1ChIP_MCF10AOEq0.05_peak_5135
chr17	1779849	1779960	112	1779865	12.00	6.22087	4.06012	2.85022	RUNX1ChIP_MCF10AOEq0.05_peak_5136
chr17	2123019	2123268	250	2123073	24.00	6.58063	2.99302	3.18863	RUNX1ChIP_MCF10AOEq0.05_peak_5137
chr17	2191566	2191738	173	2191674	16.00	5.16171	3.03817	1.96247	RUNX1ChIP_MCF10AOEq0.05_peak_5138
chr17	2237642	2238005	364	2237935	33.00	27.74328	10.61876	22.81709	RUNX1ChIP_MCF10AOEq0.05_peak_5139
chr17	2238941	2239106	166	2239060	12.00	6.22087	4.06012	2.85022	RUNX1ChIP_MCF10AOEq0.05_peak_5140
chr17	2359666	2359820	155	2359685	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_5141
chr17	2401087	2401208	122	2401141	19.00	12.43868	6.24633	8.47994	RUNX1ChIP_MCF10AOEq0.05_peak_5142
chr17	2484346	2484433	88	2484368	19.00	10.71327	5.32299	6.89188	RUNX1ChIP_MCF10AOEq0.05_peak_5143
chr17	2814488	2814854	367	2814786	26.00	19.70236	8.43255	15.22614	RUNX1ChIP_MCF10AOEq0.05_peak_5144
chr17	2909763	2910128	366	2909968	24.00	15.32761	6.65374	11.16594	RUNX1ChIP_MCF10AOEq0.05_peak_5145
chr17	2924943	2925170	228	2925062	24.00	17.05284	7.54730	12.76805	RUNX1ChIP_MCF10AOEq0.05_peak_5146
chr17	2955193	2955419	227	2955249	21.00	5.01849	2.63386	1.84046	RUNX1ChIP_MCF10AOEq0.05_peak_5147
